Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
CPTAC-2	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Not Reported,Squamous Cell Neoplasms	Breast,Colon,Other and unspecified female genital organs,Ovary,Rectum,Retroperitoneum and peritoneum	10 / 328 (3.05 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	10
TCGA-BLCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Bladder	11 / 408 (2.70 %)	160 / 411 (38.93 %)	20 / 411 (4.87 %)	11
MMRF-COMMPASS	Plasma Cell Tumors	Hematopoietic and reticuloendothelial systems	25 / 959 (2.61 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	26
TCGA-ACC	Adenomas and Adenocarcinomas	Adrenal gland	2 / 90 (2.22 %)	45 / 91 (49.45 %)	4 / 91 (4.40 %)	2
TCGA-LIHC	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts	8 / 369 (2.17 %)	90 / 374 (24.06 %)	10 / 374 (2.67 %)	7
TCGA-CHOL	Adenomas and Adenocarcinomas	Gallbladder,Liver and intrahepatic bile ducts,Other and unspecified parts of biliary tract	1 / 51 (1.96 %)	7 / 49 (14.29 %)	4 / 49 (8.16 %)	1
TCGA-READ	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Colon,Connective, subcutaneous and other soft tissues,Rectosigmoid junction,Rectum,Unknown	3 / 155 (1.94 %)	92 / 167 (55.09 %)	1 / 167 (0.60 %)	3
CMI-MBC	Ductal and Lobular Neoplasms	Breast	3 / 174 (1.72 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	3
CMI-MPC	Adenomas and Adenocarcinomas	Lymph nodes,Prostate gland	1 / 60 (1.67 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TCGA-BRCA	Adenomas and Adenocarcinomas,Adnexal and Skin Appendage Neoplasms,Basal Cell Neoplasms,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibroepithelial Neoplasms,Squamous Cell Neoplasms	Breast	15 / 969 (1.55 %)	300 / 1094 (27.42 %)	55 / 1094 (5.03 %)	14
TCGA-OV	Cystic, Mucinous and Serous Neoplasms,Not Reported	Ovary	5 / 419 (1.19 %)	186 / 578 (32.18 %)	64 / 578 (11.07 %)	5
CGCI-HTMCP-CC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms	Cervix uteri	1 / 85 (1.18 %)	27 / 122 (22.13 %)	12 / 122 (9.84 %)	1
TCGA-SARC	Fibromatous Neoplasms,Lipomatous Neoplasms,Myomatous Neoplasms,Nerve Sheath Tumors,Soft Tissue Tumors and Sarcomas, NOS,Synovial-like Neoplasms	Bones, joints and articular cartilage of limbs,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Kidney,Meninges,Other and unspecified male genital organs,Other and unspecified parts of tongue,Ovary,Peripheral nerves and autonomic nervous system,Retroperitoneum and peritoneum,Stomach,Uterus, NOS	2 / 235 (0.85 %)	59 / 257 (22.96 %)	19 / 257 (7.39 %)	2
TCGA-PRAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms	Prostate gland	4 / 496 (0.81 %)	57 / 494 (11.54 %)	7 / 494 (1.42 %)	4
TCGA-KIRC	Adenomas and Adenocarcinomas	Kidney	3 / 374 (0.80 %)	141 / 532 (26.50 %)	5 / 532 (0.94 %)	3
MP2PRT-ALL	Acute Lymphoblastic Leukemia,Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	11 / 1487 (0.74 %)	28 / 1493 (1.88 %)	54 / 1493 (3.62 %)	11
TCGA-TGCT	Germ Cell Neoplasms	Testis	1 / 141 (0.71 %)	193 / 262 (73.66 %)	5 / 262 (1.91 %)	1
BEATAML1.0-COHORT	Chronic Myeloproliferative Disorders,Leukemias, NOS,Myelodysplastic Syndromes,Myeloid Leukemias,Plasma Cell Tumors,Unknown	Hematopoietic and reticuloendothelial systems	2 / 342 (0.58 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	2
TCGA-PCPG	Paragangliomas and Glomus Tumors	Adrenal gland,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Other and ill-defined sites,Other endocrine glands and related structures,Retroperitoneum and peritoneum,Spinal cord, cranial nerves, and other parts of central nervous system	1 / 179 (0.56 %)	21 / 178 (11.80 %)	1 / 178 (0.56 %)	1
TCGA-PAAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS	Pancreas	1 / 179 (0.56 %)	33 / 185 (17.84 %)	2 / 185 (1.08 %)	2
TARGET-NBL	Neuroepitheliomatous Neoplasms,Not Applicable	Adrenal gland,Bones, joints and articular cartilage of limbs,Bones, joints and articular cartilage of other and unspecified sites,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Kidney,Liver and intrahepatic bile ducts,Lymph nodes,Meninges,Other and ill-defined sites,Other endocrine glands and related structures,Peripheral nerves and autonomic nervous system,Renal pelvis,Retroperitoneum and peritoneum,Skin,Spinal cord, cranial nerves, and other parts of central nervous system,Stomach,Unknown,Uterus, NOS	1 / 220 (0.45 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TARGET-ALL-P2	Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	3 / 717 (0.42 %)	3 / 293 (1.02 %)	5 / 293 (1.71 %)	3
TCGA-KIRP	Adenomas and Adenocarcinomas	Kidney	1 / 278 (0.36 %)	172 / 291 (59.11 %)	0 / 291 (0.00 %)	1
