Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
TCGA-STAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Stomach	38 / 434 (8.76 %)	86 / 442 (19.46 %)	32 / 442 (7.24 %)	48
HCMI-CMDC	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Blood Vessel Tumors,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibromatous Neoplasms,Gliomas,Miscellaneous Bone Tumors,Myomatous Neoplasms,Nevi and Melanomas,Osseous and Chondromatous Neoplasms,Soft Tissue Tumors and Sarcomas, NOS,Squamous Cell Neoplasms	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Esophagus,Gallbladder,Kidney,Liver and intrahepatic bile ducts,Nasal cavity and middle ear,Other and ill-defined sites,Other and unspecified parts of biliary tract,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Ovary,Pancreas,Rectosigmoid junction,Rectum,Skin,Small intestine,Stomach,Uterus, NOS	23 / 274 (8.39 %)	46 / 268 (17.16 %)	27 / 268 (10.07 %)	28
TCGA-BLCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Bladder	33 / 408 (8.09 %)	140 / 411 (34.06 %)	26 / 411 (6.33 %)	41
TCGA-ACC	Adenomas and Adenocarcinomas	Adrenal gland	7 / 90 (7.78 %)	3 / 91 (3.30 %)	19 / 91 (20.88 %)	8
TCGA-COAD	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS	Colon,Rectosigmoid junction	32 / 428 (7.48 %)	85 / 459 (18.52 %)	40 / 459 (8.71 %)	38
TCGA-OV	Cystic, Mucinous and Serous Neoplasms,Not Reported	Ovary	31 / 419 (7.40 %)	29 / 578 (5.02 %)	376 / 578 (65.05 %)	32
TCGA-DLBC	Mature B-Cell Lymphomas,Not Reported	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Colon,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Lymph nodes,Other and unspecified major salivary glands,Retroperitoneum and peritoneum,Small intestine,Stomach,Testis,Thyroid gland	3 / 47 (6.38 %)	6 / 48 (12.50 %)	1 / 48 (2.08 %)	3
TCGA-CESC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Cervix uteri	17 / 287 (5.92 %)	33 / 302 (10.93 %)	21 / 302 (6.95 %)	28
CGCI-HTMCP-CC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms	Cervix uteri	5 / 85 (5.88 %)	20 / 122 (16.39 %)	12 / 122 (9.84 %)	5
TCGA-READ	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Colon,Connective, subcutaneous and other soft tissues,Rectosigmoid junction,Rectum,Unknown	9 / 155 (5.81 %)	31 / 167 (18.56 %)	18 / 167 (10.78 %)	15
CMI-MBC	Ductal and Lobular Neoplasms	Breast	10 / 174 (5.75 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	10
TCGA-LGG	Gliomas	Brain	29 / 513 (5.65 %)	7 / 515 (1.36 %)	15 / 515 (2.91 %)	38
TCGA-UCS	Complex Mixed and Stromal Neoplasms	Uterus, NOS	3 / 57 (5.26 %)	8 / 56 (14.29 %)	14 / 56 (25.00 %)	3
TCGA-BRCA	Adenomas and Adenocarcinomas,Adnexal and Skin Appendage Neoplasms,Basal Cell Neoplasms,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibroepithelial Neoplasms,Squamous Cell Neoplasms	Breast	42 / 969 (4.33 %)	193 / 1094 (17.64 %)	265 / 1094 (24.22 %)	44
CPTAC-2	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Not Reported,Squamous Cell Neoplasms	Breast,Colon,Other and unspecified female genital organs,Ovary,Rectum,Retroperitoneum and peritoneum	14 / 328 (4.27 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	24
TCGA-SARC	Fibromatous Neoplasms,Lipomatous Neoplasms,Myomatous Neoplasms,Nerve Sheath Tumors,Soft Tissue Tumors and Sarcomas, NOS,Synovial-like Neoplasms	Bones, joints and articular cartilage of limbs,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Kidney,Meninges,Other and unspecified male genital organs,Other and unspecified parts of tongue,Ovary,Peripheral nerves and autonomic nervous system,Retroperitoneum and peritoneum,Stomach,Uterus, NOS	10 / 235 (4.26 %)	27 / 257 (10.51 %)	53 / 257 (20.62 %)	11
TCGA-CHOL	Adenomas and Adenocarcinomas	Gallbladder,Liver and intrahepatic bile ducts,Other and unspecified parts of biliary tract	2 / 51 (3.92 %)	1 / 49 (2.04 %)	4 / 49 (8.16 %)	2
TCGA-LIHC	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts	13 / 369 (3.52 %)	64 / 374 (17.11 %)	23 / 374 (6.15 %)	13
TCGA-ESCA	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Esophagus,Stomach	6 / 184 (3.26 %)	46 / 185 (24.86 %)	20 / 185 (10.81 %)	6
TCGA-HNSC	Squamous Cell Neoplasms	Base of tongue,Bones, joints and articular cartilage of other and unspecified sites,Floor of mouth,Gum,Hypopharynx,Larynx,Lip,Oropharynx,Other and ill-defined sites in lip, oral cavity and pharynx,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Palate,Tonsil	14 / 509 (2.75 %)	68 / 525 (12.95 %)	42 / 525 (8.00 %)	15
MMRF-COMMPASS	Plasma Cell Tumors	Hematopoietic and reticuloendothelial systems	26 / 959 (2.71 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	29
TARGET-WT	Complex Mixed and Stromal Neoplasms	Kidney	1 / 38 (2.63 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TCGA-PAAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS	Pancreas	4 / 179 (2.23 %)	17 / 185 (9.19 %)	26 / 185 (14.05 %)	5
TCGA-TGCT	Germ Cell Neoplasms	Testis	3 / 141 (2.13 %)	54 / 262 (20.61 %)	40 / 262 (15.27 %)	3
TCGA-LAML	Myeloid Leukemias	Hematopoietic and reticuloendothelial systems	3 / 144 (2.08 %)	4 / 197 (2.03 %)	9 / 197 (4.57 %)	3
TCGA-KIRC	Adenomas and Adenocarcinomas	Kidney	7 / 374 (1.87 %)	19 / 532 (3.57 %)	30 / 532 (5.64 %)	8
TCGA-KIRP	Adenomas and Adenocarcinomas	Kidney	5 / 278 (1.80 %)	180 / 291 (61.86 %)	4 / 291 (1.37 %)	6
TARGET-ALL-P2	Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	12 / 717 (1.67 %)	9 / 293 (3.07 %)	7 / 293 (2.39 %)	13
TCGA-THYM	Thymic Epithelial Neoplasms	Heart, mediastinum, and pleura,Thymus	2 / 123 (1.63 %)	10 / 124 (8.06 %)	5 / 124 (4.03 %)	3
TCGA-KICH	Adenomas and Adenocarcinomas	Kidney	1 / 66 (1.52 %)	0 / 80 (0.00 %)	55 / 80 (68.75 %)	1
TARGET-NBL	Neuroepitheliomatous Neoplasms,Not Applicable	Adrenal gland,Bones, joints and articular cartilage of limbs,Bones, joints and articular cartilage of other and unspecified sites,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Kidney,Liver and intrahepatic bile ducts,Lymph nodes,Meninges,Other and ill-defined sites,Other endocrine glands and related structures,Peripheral nerves and autonomic nervous system,Renal pelvis,Retroperitoneum and peritoneum,Skin,Spinal cord, cranial nerves, and other parts of central nervous system,Stomach,Unknown,Uterus, NOS	3 / 220 (1.36 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	3
BEATAML1.0-COHORT	Chronic Myeloproliferative Disorders,Leukemias, NOS,Myelodysplastic Syndromes,Myeloid Leukemias,Plasma Cell Tumors,Unknown	Hematopoietic and reticuloendothelial systems	4 / 342 (1.17 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	5
TARGET-OS	Osseous and Chondromatous Neoplasms	Bones, joints and articular cartilage of limbs,Bones, joints and articular cartilage of other and unspecified sites,Not Reported	1 / 97 (1.03 %)	15 / 81 (18.52 %)	30 / 81 (37.04 %)	1
MP2PRT-ALL	Acute Lymphoblastic Leukemia,Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	11 / 1487 (0.74 %)	337 / 1493 (22.57 %)	13 / 1493 (0.87 %)	10
TCGA-PRAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms	Prostate gland	2 / 496 (0.40 %)	2 / 494 (0.40 %)	28 / 494 (5.67 %)	2
TCGA-THCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS	Thyroid gland	1 / 490 (0.20 %)	13 / 504 (2.58 %)	2 / 504 (0.40 %)	1
