Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
CPTAC-2	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Not Reported,Squamous Cell Neoplasms	Breast,Colon,Other and unspecified female genital organs,Ovary,Rectum,Retroperitoneum and peritoneum	181 / 328 (55.18 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	132
TCGA-LUAD	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Bronchus and lung	281 / 559 (50.27 %)	30 / 518 (5.79 %)	236 / 518 (45.56 %)	208
TCGA-BLCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Bladder	201 / 408 (49.26 %)	34 / 411 (8.27 %)	182 / 411 (44.28 %)	142
CGCI-BLGSP	Mature B-Cell Lymphomas	Hematopoietic and reticuloendothelial systems	18 / 37 (48.65 %)	1 / 152 (0.66 %)	6 / 152 (3.95 %)	20
CDDP_EAGLE-1	Adenomas and Adenocarcinomas	Bronchus and lung	24 / 50 (48.00 %)	1 / 44 (2.27 %)	12 / 44 (27.27 %)	24
TCGA-LGG	Gliomas	Brain	240 / 513 (46.78 %)	6 / 515 (1.17 %)	10 / 515 (1.94 %)	169
TCGA-STAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Stomach	199 / 434 (45.85 %)	22 / 442 (4.98 %)	142 / 442 (32.13 %)	143
CPTAC-3	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Lipomatous Neoplasms,Nevi and Melanomas,Not Applicable,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Brain,Breast,Bronchus and lung,Colon,Kidney,Other and ill-defined sites,Other and unspecified urinary organs,Pancreas,Unknown,Uterus, NOS	559 / 1317 (42.44 %)	42 / 1290 (3.26 %)	246 / 1290 (19.07 %)	352
TCGA-UCEC	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS,Not Reported	Corpus uteri,Uterus, NOS	193 / 512 (37.70 %)	17 / 544 (3.13 %)	117 / 544 (21.51 %)	141
TCGA-SARC	Fibromatous Neoplasms,Lipomatous Neoplasms,Myomatous Neoplasms,Nerve Sheath Tumors,Soft Tissue Tumors and Sarcomas, NOS,Synovial-like Neoplasms	Bones, joints and articular cartilage of limbs,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Kidney,Meninges,Other and unspecified male genital organs,Other and unspecified parts of tongue,Ovary,Peripheral nerves and autonomic nervous system,Retroperitoneum and peritoneum,Stomach,Uterus, NOS	88 / 235 (37.45 %)	30 / 257 (11.67 %)	105 / 257 (40.86 %)	81
TARGET-WT	Complex Mixed and Stromal Neoplasms	Kidney	13 / 38 (34.21 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	10
TCGA-BRCA	Adenomas and Adenocarcinomas,Adnexal and Skin Appendage Neoplasms,Basal Cell Neoplasms,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibroepithelial Neoplasms,Squamous Cell Neoplasms	Breast	331 / 969 (34.16 %)	50 / 1094 (4.57 %)	562 / 1094 (51.37 %)	209
CMI-MBC	Ductal and Lobular Neoplasms	Breast	58 / 174 (33.33 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	47
TCGA-GBM	Gliomas,Not Reported	Brain	115 / 374 (30.75 %)	8 / 589 (1.36 %)	74 / 589 (12.56 %)	87
CMI-ASC	Soft Tissue Tumors and Sarcomas, NOS	Bladder,Breast,Bronchus and lung,Heart, mediastinum, and pleura,Lymph nodes,Other and ill-defined digestive organs,Other and ill-defined sites,Other and ill-defined sites within respiratory system and intrathoracic organs,Skin	11 / 36 (30.56 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	15
TCGA-KICH	Adenomas and Adenocarcinomas	Kidney	20 / 66 (30.30 %)	0 / 80 (0.00 %)	55 / 80 (68.75 %)	22
TCGA-LIHC	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts	108 / 369 (29.27 %)	10 / 374 (2.67 %)	216 / 374 (57.75 %)	88
CMI-MPC	Adenomas and Adenocarcinomas	Lymph nodes,Prostate gland	17 / 60 (28.33 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	15
TARGET-OS	Osseous and Chondromatous Neoplasms	Bones, joints and articular cartilage of limbs,Bones, joints and articular cartilage of other and unspecified sites,Not Reported	20 / 97 (20.62 %)	9 / 81 (11.11 %)	48 / 81 (59.26 %)	17
TCGA-ACC	Adenomas and Adenocarcinomas	Adrenal gland	15 / 90 (16.67 %)	3 / 91 (3.30 %)	25 / 91 (27.47 %)	16
TCGA-SKCM	Nevi and Melanomas	Skin	68 / 470 (14.47 %)	23 / 470 (4.89 %)	146 / 470 (31.06 %)	57
TCGA-MESO	Mesothelial Neoplasms	Bronchus and lung,Heart, mediastinum, and pleura	11 / 80 (13.75 %)	1 / 87 (1.15 %)	25 / 87 (28.74 %)	11
TCGA-PRAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms	Prostate gland	54 / 496 (10.89 %)	0 / 494 (0.00 %)	156 / 494 (31.58 %)	45
TCGA-DLBC	Mature B-Cell Lymphomas,Not Reported	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Colon,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Lymph nodes,Other and unspecified major salivary glands,Retroperitoneum and peritoneum,Small intestine,Stomach,Testis,Thyroid gland	5 / 47 (10.64 %)	2 / 48 (4.17 %)	11 / 48 (22.92 %)	5
TCGA-CHOL	Adenomas and Adenocarcinomas	Gallbladder,Liver and intrahepatic bile ducts,Other and unspecified parts of biliary tract	5 / 51 (9.80 %)	0 / 49 (0.00 %)	18 / 49 (36.73 %)	5
TCGA-CESC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Cervix uteri	21 / 287 (7.32 %)	8 / 302 (2.65 %)	83 / 302 (27.48 %)	24
CGCI-HTMCP-CC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms	Cervix uteri	6 / 85 (7.06 %)	6 / 122 (4.92 %)	31 / 122 (25.41 %)	7
TCGA-LAML	Myeloid Leukemias	Hematopoietic and reticuloendothelial systems	8 / 144 (5.56 %)	2 / 197 (1.02 %)	13 / 197 (6.60 %)	10
BEATAML1.0-COHORT	Chronic Myeloproliferative Disorders,Leukemias, NOS,Myelodysplastic Syndromes,Myeloid Leukemias,Plasma Cell Tumors,Unknown	Hematopoietic and reticuloendothelial systems	19 / 342 (5.56 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	19
MMRF-COMMPASS	Plasma Cell Tumors	Hematopoietic and reticuloendothelial systems	47 / 959 (4.90 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	48
TCGA-THYM	Thymic Epithelial Neoplasms	Heart, mediastinum, and pleura,Thymus	4 / 123 (3.25 %)	2 / 124 (1.61 %)	13 / 124 (10.48 %)	4
TCGA-KIRC	Adenomas and Adenocarcinomas	Kidney	11 / 374 (2.94 %)	16 / 532 (3.01 %)	46 / 532 (8.65 %)	11
TCGA-KIRP	Adenomas and Adenocarcinomas	Kidney	6 / 278 (2.16 %)	161 / 291 (55.33 %)	16 / 291 (5.50 %)	6
MP2PRT-ALL	Acute Lymphoblastic Leukemia,Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	28 / 1487 (1.88 %)	311 / 1493 (20.83 %)	38 / 1493 (2.55 %)	25
TARGET-ALL-P2	Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	13 / 717 (1.81 %)	6 / 293 (2.05 %)	3 / 293 (1.02 %)	12
TARGET-ALL-P3	Leukemias, NOS,Lymphoid Leukemias,Myeloid Leukemias,Not Applicable	Hematopoietic and reticuloendothelial systems,Unknown	1 / 56 (1.79 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TCGA-TGCT	Germ Cell Neoplasms	Testis	1 / 141 (0.71 %)	33 / 262 (12.60 %)	83 / 262 (31.68 %)	1
TCGA-THCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS	Thyroid gland	3 / 490 (0.61 %)	11 / 504 (2.18 %)	8 / 504 (1.59 %)	3
